settlement_id,settled_at,payment_id,type,gross_minor,fee_minor,net_minor,currency,note
S001585,2026-05-08,P014737,capture,7723,254,7469,USD,
S001623,2026-05-08,P004642,capture,1667,78,1589,USD,
S001632,2026-05-08,P019959,capture,36888,1100,35788,USD,
S001637,2026-05-08,P017465,capture,6340,214,6126,USD,
S001639,2026-05-08,P008454,capture,2730,109,2621,USD,
S001657,2026-05-08,P009697,capture,5510,190,5320,USD,
S001676,2026-05-08,P003213,capture,10925,347,10578,USD,
S001683,2026-05-08,P009473,capture,3505,132,3373,USD,
S001696,2026-05-08,P001549,capture,11984,378,11606,USD,
S001704,2026-05-08,P009318,capture,9691,311,9380,USD,
S001723,2026-05-08,P018365,capture,3492,131,3361,USD,
S001739,2026-05-08,P002403,capture,29801,894,28907,USD,
S001756,2026-05-08,P010871,capture,6990,233,6757,USD,
S001798,2026-05-08,P009953,capture,2126,92,2034,USD,
S001803,2026-05-08,P012227,capture,4645,165,4480,USD,
S001813,2026-05-08,P003128,capture,2913,114,2799,USD,
S001850,2026-05-08,P007941,capture,10936,347,10589,USD,
S001862,2026-05-08,P010134,capture,5431,187,5244,USD,
S001867,2026-05-08,P013007,capture,5519,190,5329,USD,
S001900,2026-05-08,P012667,capture,1502,74,1428,USD,
S001907,2026-05-08,P012019,capture,2730,109,2621,USD,
S001909,2026-05-08,P012827,capture,3270,125,3145,USD,
S001928,2026-05-08,P019704,capture,4278,154,4124,USD,
S001955,2026-05-08,P007812,capture,5883,201,5682,USD,
S001966,2026-05-08,P016129,capture,4749,168,4581,USD,
S001971,2026-05-08,P010133,capture,7610,251,7359,USD,
S001973,2026-05-08,P007259,capture,5093,178,4915,USD,
S001995,2026-05-08,P015089,capture,5420,187,5233,USD,
S002024,2026-05-08,P011457,capture,18348,562,17786,USD,
S002030,2026-05-08,P011214,capture,7661,252,7409,USD,
S002033,2026-05-08,P002255,capture,1992,88,1904,USD,
S002068,2026-05-08,P006484,capture,3604,135,3469,USD,
S002072,2026-05-08,P016606,capture,1708,80,1628,USD,
S002102,2026-05-08,P009870,capture,4153,150,4003,USD,
S002114,2026-05-08,P019805,capture,1557,75,1482,USD,
S002130,2026-05-08,P006076,capture,10612,338,10274,USD,
S002132,2026-05-08,P016870,capture,5517,190,5327,USD,
S002138,2026-05-08,P018747,capture,2228,95,2133,USD,
S002157,2026-05-08,P001638,capture,15781,488,15293,USD,
S002158,2026-05-08,P000617,capture,3493,131,3362,USD,
S002178,2026-05-08,P001225,capture,1337,69,1268,USD,
S002182,2026-05-08,P019166,capture,3033,118,2915,USD,
S002198,2026-05-08,P010893,capture,12716,399,12317,USD,
S002202,2026-05-08,P013211,capture,1138,63,1075,USD,
S002204,2026-05-08,P003208,capture,5001,175,4826,USD,
S002235,2026-05-08,P000433,capture,6233,211,6022,USD,
S002240,2026-05-08,P008038,capture,3839,141,3698,USD,
S002241,2026-05-08,P018031,capture,5055,177,4878,USD,
S002246,2026-05-08,P005413,capture,3548,133,3415,USD,
S002248,2026-05-08,P005407,capture,29823,895,28928,USD,
S002249,2026-05-08,P008427,capture,5511,190,5321,USD,
S002269,2026-05-08,P007977,capture,5856,200,5656,USD,
S002294,2026-05-08,P006998,capture,1047,60,987,USD,
S002295,2026-05-08,P013130,capture,4361,156,4205,USD,
S002312,2026-05-08,P004555,capture,3314,126,3188,USD,
S002318,2026-05-08,P018205,capture,12339,388,11951,USD,
S002324,2026-05-08,P016116,capture,10615,338,10277,USD,
S002329,2026-05-08,P017157,capture,1234,66,1168,USD,
S002335,2026-05-08,P017668,capture,2042,89,1953,USD,
S002343,2026-05-08,P000984,capture,8337,272,8065,USD,
S002423,2026-05-08,P005849,capture,7858,258,7600,USD,
S002426,2026-05-08,P010376,capture,1415,71,1344,USD,
S002433,2026-05-08,P013016,capture,8979,290,8689,USD,
S002446,2026-05-08,P015569,capture,1697,79,1618,USD,
S002450,2026-05-08,P004965,capture,16755,516,16239,USD,
S002457,2026-05-08,P007662,capture,873,55,818,USD,
S002468,2026-05-08,P001424,capture,1723,80,1643,USD,
S002471,2026-05-08,P014445,capture,3773,139,3634,USD,
S002485,2026-05-08,P012311,capture,2785,111,2674,USD,
S002490,2026-05-08,P008736,capture,3234,124,3110,USD,
S002535,2026-05-08,P000481,capture,16379,505,15874,USD,
S002539,2026-05-08,P012816,capture,10504,335,10169,USD,
S002543,2026-05-08,P012240,capture,2726,109,2617,USD,
S002552,2026-05-08,P007926,capture,2097,91,2006,USD,
S002596,2026-05-08,P006399,capture,2497,102,2395,USD,
S002600,2026-05-08,P011321,capture,3757,139,3618,USD,
S002617,2026-05-08,P014238,capture,1229,66,1163,USD,
S002618,2026-05-08,P005680,capture,1342,69,1273,USD,
S002620,2026-05-08,P007103,capture,1517,74,1443,USD,
S002648,2026-05-08,P004951,capture,978,58,920,USD,
S002656,2026-05-08,P019230,capture,4391,157,4234,USD,
S002714,2026-05-08,P007104,capture,6879,229,6650,USD,
S002768,2026-05-08,P001435,capture,1017,59,958,USD,
S002783,2026-05-08,P004914,capture,12491,392,12099,USD,
S002784,2026-05-08,P011680,capture,1678,79,1599,USD,
S002786,2026-05-08,P009783,capture,9396,302,9094,USD,
S002806,2026-05-08,P017090,capture,3254,124,3130,USD,
S002841,2026-05-08,P005798,capture,1618,77,1541,USD,
S002864,2026-05-08,P003663,capture,33990,1016,32974,USD,
S002869,2026-05-08,P008850,capture,20916,637,20279,USD,
S002880,2026-05-08,P019303,capture,16707,515,16192,USD,
S002914,2026-05-08,P001130,capture,8983,291,8692,USD,
S002916,2026-05-08,P007890,capture,1889,85,1804,USD,
S002934,2026-05-08,P007359,capture,2225,95,2130,USD,
S002938,2026-05-08,P017248,capture,2161,93,2068,USD,
S002951,2026-05-08,P009841,capture,2663,107,2556,USD,
S003003,2026-05-08,P019598,capture,5464,188,5276,USD,
S003006,2026-05-08,P015791,capture,4120,149,3971,USD,
S003011,2026-05-08,P008520,capture,19868,606,19262,USD,
S003016,2026-05-08,P008462,capture,12736,399,12337,USD,
S003017,2026-05-08,P009048,capture,1140,63,1077,USD,
S003022,2026-05-08,P000972,capture,12633,396,12237,USD,
S003023,2026-05-08,P002736,capture,1867,84,1783,USD,
S003026,2026-05-08,P017414,capture,8083,264,7819,USD,
S003029,2026-05-08,P017217,capture,448,43,405,USD,
S003032,2026-05-08,P006359,capture,20293,618,19675,USD,
S003034,2026-05-08,P016730,capture,5828,199,5629,USD,
S003035,2026-05-08,P010071,capture,1495,73,1422,USD,
S003036,2026-05-08,P004198,capture,3356,127,3229,USD,
S003038,2026-05-08,P009089,capture,5197,181,5016,USD,
S003042,2026-05-08,P000785,capture,8177,267,7910,USD,
S003045,2026-05-08,P000973,capture,8403,274,8129,USD,
S003046,2026-05-08,P017804,capture,5530,190,5340,USD,
S003048,2026-05-08,P015761,capture,6749,226,6523,USD,
S003051,2026-05-08,P013975,capture,761,52,709,USD,
S003055,2026-05-08,P010035,capture,1296,68,1228,USD,
S003056,2026-05-08,P002809,capture,9207,297,8910,USD,
S003059,2026-05-08,P010545,capture,18666,571,18095,USD,
S003061,2026-05-08,P005334,capture,4576,163,4413,USD,
S003065,2026-05-08,P013835,capture,2742,110,2632,USD,
S003066,2026-05-08,P012234,capture,3601,134,3467,USD,
S003068,2026-05-08,P012406,capture,1818,83,1735,USD,
S003072,2026-05-08,P003079,capture,6119,207,5912,USD,
S003073,2026-05-08,P014817,capture,8739,283,8456,USD,
S003076,2026-05-08,P005512,capture,2904,114,2790,USD,
S003093,2026-05-08,P003102,capture,1396,70,1326,USD,
S003094,2026-05-08,P012796,capture,7845,258,7587,USD,
S003095,2026-05-08,P001752,capture,9021,292,8729,USD,
S003096,2026-05-08,P013224,capture,13817,431,13386,USD,
S003100,2026-05-08,P009059,capture,11641,368,11273,USD,
S003109,2026-05-08,P006221,capture,1272,67,1205,USD,
S003122,2026-05-08,P005750,capture,24732,747,23985,USD,
S003125,2026-05-08,P013390,capture,8996,291,8705,USD,
S003128,2026-05-08,P009667,capture,3357,127,3230,USD,
S003135,2026-05-08,P008646,capture,3018,118,2900,USD,
S003138,2026-05-08,P002002,capture,11922,376,11546,USD,
S003140,2026-05-08,P013512,capture,13126,411,12715,USD,
S003141,2026-05-08,P012538,capture,7648,252,7396,USD,
S003149,2026-05-08,P000163,capture,1275,67,1208,USD,
S003151,2026-05-08,P008601,capture,1533,74,1459,USD,
S003152,2026-05-08,P010355,capture,2080,90,1990,USD,
S003153,2026-05-08,P018009,capture,11582,366,11216,USD,
S003154,2026-05-08,P006045,capture,1189,64,1125,USD,
S003155,2026-05-08,P010766,capture,5987,204,5783,USD,
S003156,2026-05-08,P005162,capture,4193,152,4041,USD,
S003164,2026-05-08,P003936,capture,5354,185,5169,USD,
S003173,2026-05-08,P002700,capture,6660,223,6437,USD,
S003177,2026-05-08,P001646,capture,6536,220,6316,USD,
S003182,2026-05-08,P006651,capture,15004,465,14539,USD,
S003183,2026-05-08,P007262,capture,7803,256,7547,USD,
S003189,2026-05-08,P012938,capture,2444,101,2343,USD,
S003193,2026-05-08,P008778,capture,5153,179,4974,USD,
S003195,2026-05-08,P003794,capture,4545,162,4383,USD,
S003198,2026-05-08,P004509,capture,1546,75,1471,USD,
S003202,2026-05-08,P001189,capture,9404,303,9101,USD,
S003210,2026-05-08,P019817,capture,5624,193,5431,USD,
S003215,2026-05-08,P014925,capture,5776,198,5578,USD,
S003216,2026-05-08,P009784,capture,9345,301,9044,USD,
S003220,2026-05-08,P004226,capture,956,58,898,USD,
S003231,2026-05-08,P000802,capture,3374,128,3246,USD,
S003232,2026-05-08,P007357,capture,6374,215,6159,USD,
S003241,2026-05-08,P002449,capture,8782,285,8497,USD,
S003243,2026-05-08,P014862,capture,1897,85,1812,USD,
S003245,2026-05-08,P019250,capture,5755,197,5558,USD,
S003247,2026-05-08,P017257,capture,6871,229,6642,USD,
S003248,2026-05-08,P014039,capture,1992,88,1904,USD,
S003252,2026-05-08,P002126,capture,6067,206,5861,USD,
S003253,2026-05-08,P012837,capture,3847,142,3705,USD,
S003259,2026-05-08,P017227,capture,2370,99,2271,USD,
S003266,2026-05-08,P014710,capture,2916,115,2801,USD,
S003269,2026-05-08,P018619,capture,32053,960,31093,USD,
S003274,2026-05-08,P012041,capture,15099,468,14631,USD,
S003280,2026-05-08,P014082,capture,1679,79,1600,USD,
S003282,2026-05-08,P005954,capture,5900,201,5699,USD,
S003283,2026-05-08,P012329,capture,4034,147,3887,USD,
S003285,2026-05-08,P004569,capture,2917,115,2802,USD,
S003287,2026-05-08,P003572,capture,10586,337,10249,USD,
S003289,2026-05-08,P000474,capture,6014,204,5810,USD,
S003290,2026-05-08,P008090,capture,1002,59,943,USD,
S003291,2026-05-08,P016320,capture,71608,2107,69501,USD,
S003299,2026-05-08,P000274,capture,16417,506,15911,USD,
S003300,2026-05-08,P016229,capture,8013,262,7751,USD,
S003302,2026-05-08,P009272,capture,5796,198,5598,USD,
S003303,2026-05-08,P010823,capture,1197,65,1132,USD,
S003305,2026-05-08,P004845,capture,1787,82,1705,USD,
S003315,2026-05-08,P004370,capture,4394,157,4237,USD,
S003320,2026-05-08,P000762,capture,3836,141,3695,USD,
S003325,2026-05-08,P001985,capture,6117,207,5910,USD,
S003326,2026-05-08,P012293,capture,1909,73,1836,USD,
S003328,2026-05-08,P009474,capture,4643,165,4478,USD,
S003329,2026-05-08,P012032,capture,968,58,910,USD,
S003333,2026-05-08,P016844,capture,2559,104,2455,USD,
S003334,2026-05-08,P009238,capture,1618,77,1541,USD,
S003337,2026-05-08,P012196,capture,1009,59,950,USD,
S003340,2026-05-08,P016049,capture,45550,1351,44199,USD,
S003343,2026-05-08,P004695,capture,7052,235,6817,USD,
S003344,2026-05-08,P003139,capture,27617,831,26786,USD,
S003346,2026-05-08,P019032,capture,10339,330,10009,USD,
S003350,2026-05-08,P012080,capture,31839,953,30886,USD,
S003351,2026-05-08,P015575,capture,2439,101,2338,USD,
S003354,2026-05-08,P011437,capture,5078,177,4901,USD,
S003364,2026-05-08,P002448,capture,1080,61,1019,USD,
S003365,2026-05-08,P009823,capture,4926,173,4753,USD,
S003368,2026-05-08,P015397,capture,12921,405,12516,USD,
S003369,2026-05-08,P004075,capture,1679,79,1600,USD,
S003371,2026-05-08,P019213,capture,6982,232,6750,USD,
S003373,2026-05-08,P004836,capture,4627,164,4463,USD,
S003374,2026-05-08,P011179,capture,5038,176,4862,USD,
S003375,2026-05-08,P003251,capture,946,57,889,USD,
S003377,2026-05-08,P013388,capture,24740,747,23993,USD,
S003380,2026-05-08,P016897,capture,13526,422,13104,USD,
S003392,2026-05-08,P003374,capture,4359,156,4203,USD,
S003393,2026-05-08,P002722,capture,2497,102,2395,USD,
S003397,2026-05-08,P015326,capture,7360,243,7117,USD,
S003400,2026-05-08,P016441,capture,4758,168,4590,USD,
S003401,2026-05-08,P015283,capture,13673,427,13246,USD,
S003408,2026-05-08,P008191,capture,21629,657,20972,USD,
S003417,2026-05-08,P005482,capture,2479,102,2377,USD,
S003419,2026-05-08,P008787,capture,7786,256,7530,USD,
S003421,2026-05-08,P003196,capture,2244,95,2149,USD,
S003440,2026-05-08,P003654,capture,2587,105,2482,USD,
S003443,2026-05-08,P001891,capture,8784,285,8499,USD,
S003445,2026-05-08,P005761,capture,10812,344,10468,USD,
S003450,2026-05-08,P001113,capture,2785,111,2674,USD,
S003451,2026-05-08,P004223,capture,6064,206,5858,USD,
S003452,2026-05-08,P001862,capture,1686,79,1607,USD,
S003456,2026-05-08,P002836,capture,12851,403,12448,USD,
S003459,2026-05-08,P012050,capture,4255,153,4102,USD,
S003465,2026-05-08,P006715,capture,2204,94,2110,USD,
S003468,2026-05-08,P006423,capture,947,57,890,USD,
S003470,2026-05-08,P012030,capture,2340,98,2242,USD,
S003473,2026-05-08,P008523,capture,13230,414,12816,USD,
S003474,2026-05-08,P019913,capture,2486,102,2384,USD,
S003475,2026-05-08,P012780,capture,6482,218,6264,USD,
S003479,2026-05-08,P017688,capture,11073,351,10722,USD,
S003480,2026-05-08,P006362,capture,5203,181,5022,USD,
S003481,2026-05-08,P016685,capture,702,50,652,USD,
S003489,2026-05-08,P009152,capture,24746,748,23998,USD,
S003495,2026-05-08,P011095,capture,38555,1148,37407,USD,
S003496,2026-05-08,P017698,capture,5474,189,5285,USD,
S003497,2026-05-08,P010822,capture,7347,243,7104,USD,
S003499,2026-05-08,P004148,capture,2331,98,2233,USD,
S003502,2026-05-08,P016374,capture,8258,269,7989,USD,
S003506,2026-05-08,P005951,capture,8359,272,8087,USD,
S003508,2026-05-08,P013311,capture,8508,277,8231,USD,
S003512,2026-05-08,P004927,capture,16911,520,16391,USD,
S003513,2026-05-08,P017628,capture,10976,348,10628,USD,
S003514,2026-05-08,P013350,capture,16149,498,15651,USD,
S003516,2026-05-08,P009274,capture,2495,102,2393,USD,
S003517,2026-05-08,P001554,capture,5333,185,5148,USD,
S003519,2026-05-08,P004047,capture,14807,459,14348,USD,
S003525,2026-05-08,P012983,capture,28323,851,27472,USD,
S003528,2026-05-08,P004514,capture,11474,363,11111,USD,
S003539,2026-05-08,P003080,capture,2928,115,2813,USD,
S003540,2026-05-08,P010374,capture,5372,186,5186,USD,
S003541,2026-05-08,P004631,capture,1870,84,1786,USD,
S003546,2026-05-08,P018270,capture,7536,249,7287,USD,
S003553,2026-05-08,P016619,capture,2092,91,2001,USD,
S003554,2026-05-08,P019211,capture,2526,103,2423,USD,
S003556,2026-05-08,P008745,capture,10062,322,9740,USD,
S003559,2026-05-08,P008767,capture,894,56,838,USD,
S003562,2026-05-08,P015277,capture,6357,214,6143,USD,
S003563,2026-05-08,P009687,capture,11014,349,10665,USD,
S003566,2026-05-08,P001372,capture,3184,122,3062,USD,
S003568,2026-05-08,P019394,capture,10150,324,9826,USD,
S003570,2026-05-08,P010524,capture,2450,101,2349,USD,
S003573,2026-05-08,P013070,capture,1821,83,1738,USD,
S003578,2026-05-08,P013409,capture,2258,95,2163,USD,
S003580,2026-05-08,P001227,capture,17065,525,16540,USD,
S003583,2026-05-08,P012712,capture,16175,499,15676,USD,
S003584,2026-05-08,P017829,capture,4102,149,3953,USD,
S003587,2026-05-08,P007910,capture,2337,98,2239,USD,
S003588,2026-05-08,P013204,capture,6833,228,6605,USD,
S003590,2026-05-08,P012883,capture,4928,173,4755,USD,
S003592,2026-05-08,P011446,capture,879,55,824,USD,
S003593,2026-05-08,P002656,capture,13906,433,13473,USD,
S003596,2026-05-08,P011521,capture,3706,137,3569,USD,
S003598,2026-05-08,P003021,capture,4732,167,4565,USD,
S003599,2026-05-08,P019415,capture,13516,422,13094,USD,
S003601,2026-05-08,P007084,capture,3851,142,3709,USD,
S003604,2026-05-08,P011733,capture,1516,74,1442,USD,
S003609,2026-05-08,P013194,capture,2470,102,2368,USD,
S003611,2026-05-08,P005982,capture,10716,341,10375,USD,
S003614,2026-05-08,P006391,capture,12560,394,12166,USD,
S003621,2026-05-08,P007585,capture,15227,472,14755,USD,
S003622,2026-05-08,P012859,capture,16126,498,15628,USD,
S003625,2026-05-08,P001270,capture,3544,132,3412,EUR,converted at 1.0961
S003630,2026-05-08,P007168,capture,868,55,813,USD,
S003632,2026-05-08,P008815,capture,14157,441,13716,USD,
S003633,2026-05-08,P010583,capture,8644,281,8363,USD,
S003636,2026-05-08,P006564,capture,15889,491,15398,USD,
S003637,2026-05-08,P001687,capture,3627,135,3492,USD,
S003640,2026-05-08,P018273,capture,5411,187,5224,USD,
S003644,2026-05-08,P010378,capture,7044,234,6810,USD,
S003645,2026-05-08,P008843,capture,4158,151,4007,USD,
S003649,2026-05-08,P017724,capture,7051,234,6817,USD,
S003667,2026-05-08,P012493,capture,3049,118,2931,USD,
S003674,2026-05-08,P015502,capture,6414,216,6198,USD,
S003678,2026-05-08,P008825,capture,3171,122,3049,USD,
S003679,2026-05-08,P003881,capture,19390,592,18798,USD,
S003680,2026-05-08,P019662,capture,1987,88,1899,USD,
S003687,2026-05-08,P010887,capture,760,52,708,USD,
S003688,2026-05-08,P011151,capture,7835,257,7578,USD,
S003691,2026-05-08,P000213,capture,2537,104,2433,USD,
S003693,2026-05-08,P000801,capture,3927,144,3783,USD,
S003695,2026-05-08,P001953,capture,12368,389,11979,USD,
S003697,2026-05-08,P013005,capture,7168,238,6930,USD,
S003699,2026-05-08,P011390,capture,2961,116,2845,USD,
S003700,2026-05-08,P010261,capture,848,55,793,USD,
S003705,2026-05-08,P015025,capture,5010,175,4835,USD,
S003708,2026-05-08,P002401,capture,7946,260,7686,USD,
S003711,2026-05-08,P007603,capture,5260,183,5077,USD,
S003712,2026-05-08,P006662,capture,5074,177,4897,USD,
S003717,2026-05-08,P008739,capture,5494,189,5305,USD,
S003718,2026-05-08,P014608,capture,2085,90,1995,USD,
S003719,2026-05-08,P003764,capture,44979,1334,43645,USD,
S003720,2026-05-08,P018262,capture,4803,169,4634,USD,
S003721,2026-05-08,P012485,capture,2978,116,2862,USD,
S003723,2026-05-08,P000268,capture,5343,185,5158,USD,
S003725,2026-05-08,P002385,capture,9613,309,9304,USD,
S003732,2026-05-08,P014086,capture,7076,235,6841,USD,
S003735,2026-05-08,P014032,capture,6913,230,6683,USD,
S003743,2026-05-08,P018351,capture,4464,159,4305,USD,
S003745,2026-05-08,P000505,capture,5822,199,5623,USD,
S003751,2026-05-08,P011857,capture,3308,126,3182,USD,
S003754,2026-05-08,P016069,capture,5928,202,5726,USD,
S003768,2026-05-08,P004434,capture,6383,215,6168,USD,
S003771,2026-05-08,P001342,capture,23597,714,22883,USD,
S003776,2026-05-08,P017712,capture,2818,112,2706,USD,
S003779,2026-05-08,P006300,capture,3870,142,3728,USD,
S003783,2026-05-08,P013888,capture,12563,394,12169,USD,
S003785,2026-05-08,P014575,capture,10264,328,9936,USD,
S003786,2026-05-08,P005402,capture,8853,287,8566,USD,
S003789,2026-05-08,P009076,capture,52399,1550,50849,USD,
S003790,2026-05-08,P005739,capture,7627,251,7376,USD,
S003794,2026-05-08,P012814,capture,7695,253,7442,USD,
S003795,2026-05-08,P009066,capture,8256,269,7987,USD,
S003796,2026-05-08,P019976,capture,6270,212,6058,USD,
S003800,2026-05-08,P003832,capture,14890,462,14428,USD,
S003801,2026-05-08,P010602,capture,4886,172,4714,USD,
S003803,2026-05-08,P008325,capture,7127,237,6890,USD,
S003804,2026-05-08,P004994,capture,7615,251,7364,USD,
S003809,2026-05-08,P005852,refund,-6626,0,-6626,USD,
S003811,2026-05-08,P014011,capture,2250,95,2155,USD,
S003821,2026-05-08,P012606,capture,2190,94,2096,USD,
S003824,2026-05-08,P017166,capture,2506,103,2403,USD,
S003830,2026-05-08,P015412,capture,6780,227,6553,USD,
S003831,2026-05-08,P019202,capture,36642,1093,35549,USD,
S003832,2026-05-08,P013494,capture,6417,216,6201,USD,
S003834,2026-05-08,P010377,capture,9383,302,9081,USD,
S003839,2026-05-08,P013327,capture,3414,129,3285,USD,
S003840,2026-05-08,P009739,capture,13518,422,13096,USD,
S003846,2026-05-08,P009819,capture,6211,210,6001,USD,
S003850,2026-05-08,P010858,capture,1178,64,1114,USD,
S003856,2026-05-08,P012995,capture,4813,170,4643,USD,
S003857,2026-05-08,P004418,capture,2436,101,2335,USD,
S003858,2026-05-08,P003104,capture,4032,147,3885,USD,
S003859,2026-05-08,P014860,capture,8945,289,8656,USD,
S003860,2026-05-08,P014125,capture,5692,195,5497,USD,
S003872,2026-05-08,P004479,capture,12747,400,12347,USD,
S003873,2026-05-08,P005260,capture,1789,82,1707,USD,
S003875,2026-05-08,P017286,capture,20583,627,19956,USD,
S003877,2026-05-08,P000136,capture,1406,71,1335,USD,
S003878,2026-05-08,P018826,capture,1825,83,1742,USD,
S003881,2026-05-08,P006886,capture,9667,310,9357,USD,
S003883,2026-05-08,P003007,capture,22235,675,21560,USD,
S003891,2026-05-08,P001916,capture,4046,147,3899,USD,
S003894,2026-05-08,P001320,capture,12542,394,12148,USD,
S003895,2026-05-08,P009727,capture,1997,88,1909,USD,
S003898,2026-05-08,P009815,capture,3960,145,3815,USD,
S003899,2026-05-08,P009765,capture,5011,175,4836,USD,
S003904,2026-05-08,P004725,capture,3711,138,3573,USD,
S003909,2026-05-08,P012691,capture,1925,86,1839,USD,
S003911,2026-05-08,P005070,capture,6833,228,6605,USD,
S003918,2026-05-08,P017333,capture,1543,75,1468,USD,
S003922,2026-05-08,P014376,capture,8819,286,8533,USD,
S003927,2026-05-08,P001453,capture,33833,1011,32822,USD,
S003933,2026-05-08,P015921,capture,4456,159,4297,USD,
S003934,2026-05-08,P006490,capture,29153,875,28278,USD,
S003935,2026-05-08,P017007,capture,8262,270,7992,USD,
S003937,2026-05-08,P010418,capture,14601,453,14148,USD,
S003938,2026-05-08,P016307,capture,5800,198,5602,USD,
S003939,2026-05-08,P009662,capture,7168,238,6930,USD,
S003940,2026-05-08,P002831,capture,7561,249,7312,USD,
S003944,2026-05-08,P001662,capture,1121,63,1058,USD,
S003946,2026-05-08,P004126,capture,7671,252,7419,USD,
S003947,2026-05-08,P018672,capture,2983,117,2866,USD,
S003952,2026-05-08,P018462,capture,7343,243,7100,USD,
S003955,2026-05-08,P018388,capture,6821,228,6593,USD,
S003959,2026-05-08,P017154,capture,12430,390,12040,USD,
S003964,2026-05-08,P000004,capture,5134,179,4955,USD,
S003968,2026-05-08,P016831,capture,8896,288,8608,USD,
S003973,2026-05-08,P014907,capture,5168,180,4988,USD,
S003974,2026-05-08,P004422,capture,4343,156,4187,USD,
S003981,2026-05-08,P018781,capture,6239,211,6028,USD,
S003982,2026-05-08,P002552,capture,1703,79,1624,USD,
S003983,2026-05-08,P005705,capture,7075,235,6840,USD,
S003985,2026-05-08,P003762,capture,11306,358,10948,USD,
S003986,2026-05-08,P001572,capture,1330,69,1261,USD,
S003988,2026-05-08,P009027,capture,7059,235,6824,USD,
S003990,2026-05-08,P016090,capture,5814,199,5615,USD,
S003991,2026-05-08,P007284,capture,2274,96,2178,USD,
S003995,2026-05-08,P017068,capture,2075,90,1985,USD,
S003996,2026-05-08,P009549,capture,4796,169,4627,USD,
S003998,2026-05-08,P017974,capture,4473,160,4313,USD,
S003999,2026-05-08,P004572,capture,2727,109,2618,USD,
S004002,2026-05-08,P004053,capture,730,51,679,USD,
S004008,2026-05-08,P002106,capture,8259,270,7989,USD,
S004011,2026-05-08,P003210,capture,11780,372,11408,USD,
S004013,2026-05-08,P008379,capture,1148,63,1085,USD,
S004014,2026-05-08,P000727,capture,7063,235,6828,USD,
S004016,2026-05-08,P018703,capture,7418,245,7173,USD,
S004018,2026-05-08,P004327,capture,2796,111,2685,USD,
S004022,2026-05-08,P008689,capture,5716,196,5520,USD,
S004030,2026-05-08,P006813,capture,7880,259,7621,USD,
S004031,2026-05-08,P001238,capture,3249,124,3125,USD,
S004033,2026-05-08,P019894,capture,6902,230,6672,USD,
S004036,2026-05-08,P017493,capture,7792,256,7536,USD,
S004038,2026-05-08,P010620,capture,6603,221,6382,USD,
S004041,2026-05-08,P014738,capture,3686,137,3549,USD,
S004043,2026-05-08,P007149,capture,6469,218,6251,USD,
S004047,2026-05-08,P011136,capture,4780,169,4611,USD,
S004048,2026-05-08,P019489,capture,9179,296,8883,USD,
S004050,2026-05-08,P012935,capture,1744,92,1652,USD,
S004052,2026-05-08,P008264,capture,8871,287,8584,USD,
S004054,2026-05-08,P001148,capture,3628,135,3493,USD,
S004055,2026-05-08,P003610,capture,4663,165,4498,USD,
S004056,2026-05-08,P010845,capture,274,39,235,EUR,converted at 1.0961
S004057,2026-05-08,P003561,capture,10082,322,9760,USD,
S004063,2026-05-08,P001960,capture,3603,134,3469,USD,
S004064,2026-05-08,P008910,capture,7100,236,6864,USD,
S004065,2026-05-08,P010299,capture,724,51,673,USD,
S004073,2026-05-08,P013728,capture,2446,101,2345,USD,
S004077,2026-05-08,P008508,capture,5392,186,5206,USD,
S004081,2026-05-08,P015711,capture,12207,384,11823,USD,
S004083,2026-05-08,P014785,capture,10593,337,10256,USD,
S004085,2026-05-08,P005150,capture,4081,148,3933,USD,
S004087,2026-05-08,P003410,capture,4002,146,3856,USD,
S004090,2026-05-08,P007668,capture,13184,412,12772,USD,
S004091,2026-05-08,P010364,capture,3314,126,3188,USD,
S004092,2026-05-08,P013338,capture,21390,650,20740,USD,
S004097,2026-05-08,P008660,capture,7407,245,7162,USD,
S004103,2026-05-08,P015680,capture,9566,307,9259,USD,
S004105,2026-05-08,P006835,capture,3326,126,3200,USD,
S004112,2026-05-08,P014251,capture,4816,170,4646,USD,
S004113,2026-05-08,P008733,capture,5289,183,5106,USD,
S004121,2026-05-08,P005019,capture,7371,244,7127,USD,
S004125,2026-05-08,P000407,capture,26716,805,25911,USD,
S004137,2026-05-08,P008373,capture,3127,121,3006,USD,
S004139,2026-05-08,P015643,capture,3866,142,3724,USD,
S004140,2026-05-08,P000251,capture,6795,227,6568,USD,
S004147,2026-05-08,P009640,capture,3465,130,3335,USD,
S004153,2026-05-08,P000215,capture,8270,270,8000,USD,
S004154,2026-05-08,P010361,capture,6666,223,6443,USD,
S004156,2026-05-08,P008213,capture,7318,242,7076,USD,
S004158,2026-05-08,P014488,capture,3216,123,3093,USD,
S004159,2026-05-08,P006108,capture,2385,99,2286,USD,
S004161,2026-05-08,P011930,capture,1964,87,1877,USD,
S004162,2026-05-08,P015328,capture,1346,69,1277,USD,
S004163,2026-05-08,P003444,capture,8598,279,8319,USD,
S004166,2026-05-08,P019518,capture,3657,136,3521,USD,
S004170,2026-05-08,P002662,capture,6368,215,6153,USD,
S004177,2026-05-08,P003490,capture,12192,384,11808,USD,
S004180,2026-05-08,P011152,capture,6695,224,6471,USD,
S004185,2026-05-08,P012828,capture,3607,135,3472,USD,
